date,area_type,area_code,area_name,metric,metric_name,value
2020-07-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,499.0
2020-07-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4.0
2020-07-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7.0
2020-07-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-07-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,518.0
2020-07-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-07-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-07-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-07-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,824.0
2020-07-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-07-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,796.0
2020-07-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-07-29,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-29,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,11.0
2020-07-29,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,27.0
2020-07-29,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,994.0
2020-07-30,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,28.0
2020-07-30,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,9.0
2020-07-30,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,879.0
2020-07-30,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,30.0
2020-07-31,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,644.0
2020-07-31,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-31,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-07-31,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-08-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,23.0
2020-08-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,508.0
2020-08-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,12.0
2020-08-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,16.0
2020-08-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,14.0
2020-08-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,13.0
2020-08-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,518.0
2020-08-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19.0
2020-08-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,22.0
